month,temperature
Jan,4.50682795698925
Feb,3.800535714285714
Mar,3.8338709677419325
Apr,8.625513888888898
May,11.65653225806453
Jun,15.102486111111107
Jul,20.039099462365566
Aug,18.502594086021478
Sep,14.809178272980507
Oct,13.34264784946237
Nov,7.5861111111111095
Dec,7.223091397849466
