Blocks,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
94,3443.279,4517.713351,19034.326,1557306,3779.811054,216115.823,1231.17
95,3969.664,4927.010151,19403.94,1550374,3816.913654,234930.295,1280.916
96,4004.0895,5306.942945,22880.459,1630678,4487.744287,253686.604,1364.679
97,4175.359501,5374.778632,21856.58199,1605297,4350.128775,257192.814,1513.49
98,3633.661,5022.618574,22162.029,1520689,4604.190519,240071.68,1076.815
99,3908.406,5215.348105,21981.60801,1439982,4431.577298,248893.991,1368.942
100,2937.0375,3997.595508,17923.948,1399788,3480.396133,191254.505,1137.276
101,3629.8305,5228.423553,24107.43799,1530522,4914.16789,250215.552,1188.109
102,5315.3255,7223.938013,29862.168,1568019,6179.016034,345009.379,1839.616
103,3826.624,5006.05356,22610.537,1532501,4284.46646,239323.06,1467.48
104,4009.509,4906.879714,18899.855,1490157,3622.607533,234553.999,1503.327
105,4253.199,5404.887201,22177.84199,1489487,4333.596223,258485.705,1583.183
106,3645.6895,4833.331309,21154.458,1593420,4177.409929,230736.655,1204.567
107,3184.937,3956.605581,16079.323,1475815,3140.846791,188889.275,1126.288
108,4872.391501,6665.481313,25194.847,1429476,5405.269489,318598.27,1798.328
109,1559.03,2379.997828,9111.283001,472481,2128.945767,113728.64,513.3720001
110,9370.976001,11517.13652,34477.56898,1222620,7207.854444,550961.679,4277.796
111,9939.1045,12426.20431,39658.598,1515815,8338.317745,593858.709,4238.648999
